                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 1.4022,                  1.032,                0.98838,                 0.4073,                0.30778,                0.30248,                0.17206,                 1.3335,                0.98111,                0.95885,               0.007459,               0.007459,               0.007459
                     80,                 1.4084,                 1.0376,                0.99114,                0.42148,                0.30643,                0.30145,                0.17213,                 1.3338,                0.97959,                0.95864,               0.007426,               0.007426,               0.007426
                     81,                 1.3983,                 1.0283,                0.98989,                 0.4286,                 0.3017,                0.30354,                 0.1729,                 1.3332,                0.97639,                0.95957,               0.007393,               0.007393,               0.007393
                     82,                  1.402,                 1.0273,                0.99037,                0.42119,                0.30556,                0.30258,                0.17212,                 1.3329,                0.97694,                0.95832,                0.00736,                0.00736,                0.00736
                     83,                 1.3982,                 1.0253,                0.98952,                0.42339,                0.30412,                0.30537,                0.17421,                 1.3344,                0.97424,                0.95831,               0.007327,               0.007327,               0.007327
                     84,                 1.4046,                 1.0284,                0.98547,                0.42202,                0.30387,                0.30502,                0.17414,                 1.3301,                0.97571,                0.95756,               0.007294,               0.007294,               0.007294
                     85,                 1.3938,                 1.0197,                0.98759,                0.43338,                0.30092,                0.30509,                 0.1746,                 1.3312,                0.97383,                0.95815,               0.007261,               0.007261,               0.007261
                     86,                 1.3943,                 1.0193,                0.98704,                 0.4371,                0.29965,                0.30447,                0.17415,                 1.3318,                0.97364,                0.95839,               0.007228,               0.007228,               0.007228
                     87,                 1.4001,                 1.0225,                0.98796,                0.42508,                0.30468,                0.30488,                0.17316,                 1.3334,                0.97597,                 0.9587,               0.007195,               0.007195,               0.007195
                     88,                 1.4086,                 1.0291,                0.98498,                0.41932,                0.30792,                 0.3062,                0.17451,                 1.3405,                0.98108,                0.95838,               0.007162,               0.007162,               0.007162
                     89,                 1.4283,                 1.0505,                0.98457,                0.41871,                 0.3075,                0.30544,                0.17414,                 1.3604,                0.99873,                0.95763,               0.007129,               0.007129,               0.007129
                     90,                 1.4318,                 1.0559,                0.98154,                0.41818,                0.30995,                0.30598,                0.17501,                 1.3639,                 1.0061,                0.95502,               0.007096,               0.007096,               0.007096
                     91,                 1.4268,                 1.0526,                0.98193,                0.42676,                0.30683,                0.30733,                0.17564,                 1.3639,                 1.0109,                0.95418,               0.007063,               0.007063,               0.007063
                     92,                 1.4289,                 1.0535,                0.97967,                0.42777,                0.30541,                0.30736,                0.17495,                 1.3635,                 1.0135,                0.95312,                0.00703,                0.00703,                0.00703
                     93,                 1.4293,                 1.0572,                0.97871,                0.42468,                0.30809,                0.30797,                0.17599,                 1.3616,                 1.0121,                0.95187,               0.006997,               0.006997,               0.006997
                     94,                 1.4298,                 1.0562,                0.97779,                0.42755,                0.30815,                0.30751,                0.17601,                 1.3599,                 1.0097,                0.95001,               0.006964,               0.006964,               0.006964
                     95,                 1.4168,                 1.0492,                0.97287,                 0.4219,                0.31073,                0.30845,                0.17649,                 1.3549,                 1.0077,                0.94813,               0.006931,               0.006931,               0.006931
                     96,                 1.4195,                 1.0511,                0.97472,                 0.4241,                0.30783,                0.30836,                0.17678,                  1.354,                  1.008,                0.94735,               0.006898,               0.006898,               0.006898
                     97,                  1.422,                 1.0491,                0.97272,                0.42291,                0.30925,                0.30898,                0.17637,                 1.3523,                  1.006,                0.94596,               0.006865,               0.006865,               0.006865
                     98,                 1.4185,                 1.0463,                0.97548,                0.42682,                0.30674,                0.30955,                0.17686,                  1.351,                 1.0042,                0.94483,               0.006832,               0.006832,               0.006832
                     99,                 1.4221,                  1.046,                 0.9713,                0.42129,                0.31061,                 0.3101,                0.17784,                 1.3492,                 1.0016,                0.94397,               0.006799,               0.006799,               0.006799
                    100,                 1.4204,                 1.0447,                0.97155,                 0.4201,                0.31192,                0.31042,                0.17764,                 1.3509,                 1.0021,                0.94425,               0.006766,               0.006766,               0.006766
                    101,                 1.4092,                 1.0373,                0.96881,                0.42866,                0.30927,                0.31046,                0.17812,                 1.3494,                 1.0001,                0.94388,               0.006733,               0.006733,               0.006733
                    102,                 1.4149,                 1.0435,                0.96953,                0.42632,                0.31037,                0.31114,                0.17814,                 1.3478,                0.99745,                0.94355,                 0.0067,                 0.0067,                 0.0067
                    103,                 1.4109,                 1.0358,                0.96996,                0.43076,                0.30813,                0.31171,                0.17886,                  1.348,                0.99736,                0.94334,               0.006667,               0.006667,               0.006667
                    104,                 1.4135,                 1.0403,                0.97111,                 0.4295,                0.30747,                0.31243,                0.17924,                 1.3472,                0.99496,                0.94315,               0.006634,               0.006634,               0.006634
                    105,                 1.4154,                 1.0355,                0.97169,                0.42616,                0.30971,                0.31258,                0.17963,                 1.3467,                0.99436,                0.94329,               0.006601,               0.006601,               0.006601
                    106,                 1.4172,                  1.042,                0.96914,                0.43003,                0.31071,                0.31341,                0.18014,                  1.346,                0.99243,                0.94301,               0.006568,               0.006568,               0.006568
                    107,                 1.4155,                 1.0388,                0.96816,                0.42616,                0.31291,                0.31351,                0.18036,                  1.346,                0.99189,                 0.9427,               0.006535,               0.006535,               0.006535
                    108,                 1.4067,                  1.032,                0.96596,                0.42829,                0.31162,                0.31364,                0.18013,                 1.3463,                0.99093,                0.94306,               0.006502,               0.006502,               0.006502
                    109,                 1.4055,                 1.0287,                0.96824,                0.42697,                 0.3112,                0.31375,                0.18061,                 1.3444,                0.99013,                0.94225,               0.006469,               0.006469,               0.006469
                    110,                 1.4003,                 1.0281,                0.96383,                0.42724,                0.31482,                0.31323,                0.18075,                 1.3427,                 0.9888,                0.94174,               0.006436,               0.006436,               0.006436
                    111,                 1.4046,                 1.0303,                0.96563,                0.42588,                0.31498,                0.31348,                0.18085,                 1.3429,                0.98757,                0.94182,               0.006403,               0.006403,               0.006403
                    112,                 1.4036,                  1.032,                0.96453,                0.42088,                0.31733,                 0.3145,                  0.181,                 1.3427,                 0.9874,                0.94189,                0.00637,                0.00637,                0.00637
                    113,                 1.4061,                 1.0271,                0.96822,                0.41949,                0.31893,                0.31497,                0.18128,                 1.3407,                0.98655,                0.94139,               0.006337,               0.006337,               0.006337
                    114,                 1.4048,                 1.0285,                0.96412,                0.42247,                0.31664,                 0.3149,                0.18137,                 1.3401,                0.98575,                0.94083,               0.006304,               0.006304,               0.006304
                    115,                 1.4009,                 1.0151,                0.96173,                0.42087,                0.31723,                0.31557,                0.18166,                 1.3394,                0.98405,                 0.9407,               0.006271,               0.006271,               0.006271
                    116,                 1.4063,                 1.0209,                0.96564,                0.42253,                0.31702,                0.31514,                0.18164,                 1.3391,                0.98352,                0.94046,               0.006238,               0.006238,               0.006238
                    117,                 1.3989,                 1.0174,                0.96202,                 0.4185,                0.31742,                0.31517,                0.18145,                 1.3399,                0.98266,                0.94054,               0.006205,               0.006205,               0.006205
                    118,                 1.3962,                 1.0192,                0.96206,                0.42457,                0.31708,                0.31566,                0.18229,                 1.3387,                0.98146,                0.94027,               0.006172,               0.006172,               0.006172
                    119,                 1.3936,                   1.02,                0.96437,                0.42729,                0.31548,                 0.3162,                0.18235,                 1.3382,                0.98135,                0.94014,               0.006139,               0.006139,               0.006139
                    120,                 1.3951,                 1.0174,                0.96411,                0.42984,                0.31516,                0.31614,                0.18252,                 1.3371,                0.97952,                0.93975,               0.006106,               0.006106,               0.006106
                    121,                 1.3975,                 1.0171,                0.96304,                0.42613,                0.32027,                0.31702,                0.18284,                  1.336,                0.97868,                0.93932,               0.006073,               0.006073,               0.006073
                    122,                 1.3991,                 1.0165,                0.96271,                0.42385,                0.32072,                0.31727,                0.18312,                 1.3352,                0.97774,                0.93924,                0.00604,                0.00604,                0.00604
                    123,                 1.4002,                 1.0175,                0.96252,                0.42691,                0.31767,                0.31763,                0.18343,                 1.3343,                0.97768,                0.93887,               0.006007,               0.006007,               0.006007
                    124,                 1.3924,                 1.0136,                0.96229,                0.42981,                0.31795,                 0.3175,                0.18333,                 1.3336,                0.97751,                0.93907,               0.005974,               0.005974,               0.005974
                    125,                 1.3895,                 1.0115,                0.96037,                  0.432,                0.31625,                 0.3176,                 0.1833,                 1.3336,                0.97721,                 0.9389,               0.005941,               0.005941,               0.005941
                    126,                 1.3889,                 1.0092,                0.96132,                0.43002,                0.31823,                0.31781,                0.18339,                 1.3333,                0.97682,                0.93883,               0.005908,               0.005908,               0.005908
                    127,                 1.3944,                 1.0112,                0.96213,                0.42848,                0.31833,                0.31787,                0.18355,                 1.3335,                 0.9759,                0.93892,               0.005875,               0.005875,               0.005875
                    128,                 1.3865,                 1.0048,                0.95942,                0.42716,                0.31792,                0.31782,                0.18376,                 1.3328,                0.97531,                0.93893,               0.005842,               0.005842,               0.005842
                    129,                 1.3842,                  1.002,                0.95857,                 0.4285,                0.31797,                0.31833,                0.18382,                 1.3328,                0.97508,                0.93872,               0.005809,               0.005809,               0.005809
                    130,                 1.3866,                 1.0041,                0.95983,                0.43031,                0.31815,                0.31924,                 0.1841,                 1.3322,                0.97424,                0.93864,               0.005776,               0.005776,               0.005776
                    131,                 1.3873,                 1.0048,                0.95905,                0.43129,                0.31866,                0.31926,                0.18415,                 1.3321,                0.97366,                0.93833,               0.005743,               0.005743,               0.005743
                    132,                  1.388,                 1.0056,                0.96108,                0.43339,                0.31823,                 0.3197,                0.18452,                 1.3315,                0.97312,                0.93802,                0.00571,                0.00571,                0.00571
                    133,                 1.3884,                 1.0078,                0.96167,                0.43518,                0.31955,                0.32033,                0.18478,                 1.3314,                0.97231,                0.93783,               0.005677,               0.005677,               0.005677
                    134,                 1.3885,                 1.0034,                0.95661,                0.43373,                0.31877,                0.32062,                0.18512,                 1.3308,                0.97186,                0.93767,               0.005644,               0.005644,               0.005644
                    135,                 1.3904,                 1.0053,                0.95741,                0.43278,                0.31861,                0.32046,                0.18512,                 1.3306,                0.97158,                0.93778,               0.005611,               0.005611,               0.005611
                    136,                 1.3843,                0.99802,                0.95886,                0.42961,                0.32015,                0.32045,                0.18504,                  1.331,                0.97163,                0.93788,               0.005578,               0.005578,               0.005578
                    137,                 1.3787,                0.99636,                0.95731,                0.42819,                0.31947,                0.32102,                0.18518,                 1.3309,                0.97101,                 0.9378,               0.005545,               0.005545,               0.005545
                    138,                 1.3863,                 1.0019,                0.95986,                0.42716,                0.31952,                0.32115,                0.18507,                  1.331,                0.97102,                0.93787,               0.005512,               0.005512,               0.005512
                    139,                 1.3806,                0.99542,                0.95775,                0.42264,                 0.3208,                0.32146,                0.18509,                 1.3307,                0.97054,                0.93778,               0.005479,               0.005479,               0.005479
                    140,                 1.3774,                0.99384,                0.95665,                0.42518,                0.32169,                0.32173,                0.18523,                 1.3304,                0.97005,                0.93769,               0.005446,               0.005446,               0.005446
                    141,                 1.3838,                 0.9935,                 0.9584,                0.42812,                0.32159,                0.32206,                0.18544,                 1.3302,                0.96962,                0.93761,               0.005413,               0.005413,               0.005413
                    142,                 1.3812,                0.99499,                0.95714,                0.42867,                0.32231,                0.32218,                0.18571,                 1.3301,                0.96961,                0.93748,                0.00538,                0.00538,                0.00538
                    143,                 1.3765,                0.98969,                0.95563,                0.42984,                0.32226,                0.32217,                0.18565,                 1.3297,                0.96938,                0.93731,               0.005347,               0.005347,               0.005347
                    144,                 1.3809,                0.99574,                0.95648,                0.43044,                 0.3224,                0.32245,                0.18574,                 1.3296,                0.96921,                 0.9373,               0.005314,               0.005314,               0.005314
                    145,                 1.3754,                0.99182,                0.95765,                0.43319,                0.32183,                0.32295,                0.18578,                 1.3293,                0.96887,                0.93712,               0.005281,               0.005281,               0.005281
                    146,                 1.3738,                0.98512,                0.95539,                0.43445,                0.32213,                 0.3231,                0.18607,                 1.3289,                0.96837,                0.93711,               0.005248,               0.005248,               0.005248
                    147,                 1.3703,                0.98687,                0.95665,                0.43737,                0.31985,                0.32354,                0.18638,                 1.3284,                0.96803,                0.93696,               0.005215,               0.005215,               0.005215
                    148,                 1.3866,                0.99336,                0.95707,                0.43559,                0.32156,                0.32365,                 0.1866,                 1.3278,                0.96794,                0.93674,               0.005182,               0.005182,               0.005182
                    149,                  1.372,                0.98527,                0.95552,                0.43601,                0.32114,                0.32393,                0.18671,                 1.3276,                0.96757,                0.93662,               0.005149,               0.005149,               0.005149
                    150,                 1.3763,                 0.9872,                0.95843,                0.43721,                0.32148,                0.32422,                0.18682,                 1.3275,                 0.9677,                0.93656,               0.005116,               0.005116,               0.005116
                    151,                 1.3683,                0.98276,                0.95668,                0.43654,                0.32157,                0.32444,                0.18691,                 1.3275,                0.96755,                0.93657,               0.005083,               0.005083,               0.005083
                    152,                 1.3678,                0.98171,                0.95556,                0.43486,                0.32188,                0.32456,                0.18711,                 1.3276,                0.96733,                0.93651,                0.00505,                0.00505,                0.00505
                    153,                 1.3799,                0.98377,                0.95457,                 0.4368,                0.32202,                0.32498,                0.18737,                 1.3273,                0.96677,                0.93654,               0.005017,               0.005017,               0.005017
                    154,                 1.3691,                0.97812,                0.95224,                0.43702,                 0.3222,                0.32522,                0.18754,                 1.3272,                0.96683,                 0.9366,               0.004984,               0.004984,               0.004984
