                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 1.4822,                 1.1096,                   1.01,                0.38792,                0.29526,                0.28629,                0.15959,                 1.3994,                 1.0352,                0.97786,              0.0071785,              0.0071785,              0.0071785
                     60,                 1.4776,                   1.11,                 1.0119,                 0.3865,                0.29711,                0.28872,                0.16084,                 1.3937,                 1.0354,                0.97378,               0.007129,               0.007129,               0.007129
                     61,                 1.4698,                 1.1024,                 1.0118,                0.39676,                0.29312,                0.28565,                0.16069,                 1.3884,                   1.03,                0.97215,              0.0070795,              0.0070795,              0.0070795
                     62,                 1.4678,                 1.1028,                 1.0079,                0.39006,                0.29386,                0.28685,                0.15994,                 1.3937,                 1.0325,                0.97448,                0.00703,                0.00703,                0.00703
                     63,                 1.4714,                 1.1004,                 1.0091,                0.39194,                0.29954,                0.28926,                0.16186,                 1.3927,                 1.0313,                0.97385,              0.0069805,              0.0069805,              0.0069805
                     64,                  1.468,                 1.0999,                 1.0063,                0.40284,                0.29274,                0.28729,                 0.1609,                 1.3907,                 1.0306,                 0.9729,               0.006931,               0.006931,               0.006931
                     65,                 1.4674,                 1.0957,                 1.0076,                  0.406,                 0.2948,                 0.2912,                0.16237,                 1.3837,                  1.023,                0.97198,              0.0068815,              0.0068815,              0.0068815
                     66,                 1.4657,                 1.0975,                 1.0087,                0.38897,                0.29829,                0.29166,                 0.1635,                 1.3816,                  1.023,                0.97178,               0.006832,               0.006832,               0.006832
                     67,                 1.4585,                 1.0856,                 1.0065,                0.40289,                0.29575,                0.29143,                0.16347,                 1.3824,                 1.0235,                0.97053,              0.0067825,              0.0067825,              0.0067825
                     68,                 1.4665,                 1.0935,                 1.0049,                0.39924,                0.29973,                0.29429,                0.16449,                 1.3839,                 1.0232,                0.97137,               0.006733,               0.006733,               0.006733
                     69,                 1.4575,                 1.0918,                  1.008,                0.39841,                 0.2995,                0.29399,                0.16547,                 1.3773,                 1.0184,                0.96969,              0.0066835,              0.0066835,              0.0066835
                     70,                 1.4591,                 1.0908,                 1.0027,                0.39885,                0.30063,                0.29173,                0.16323,                  1.379,                 1.0201,                0.96887,               0.006634,               0.006634,               0.006634
                     71,                 1.4619,                 1.0832,                 1.0052,                0.40009,                0.29872,                0.29329,                0.16514,                 1.3751,                 1.0194,                0.96934,              0.0065845,              0.0065845,              0.0065845
                     72,                 1.4649,                 1.0923,                 1.0029,                  0.405,                0.29383,                 0.2897,                0.16406,                 1.3745,                 1.0193,                0.96874,               0.006535,               0.006535,               0.006535
                     73,                 1.4503,                 1.0779,                 1.0049,                0.39769,                0.29821,                0.29076,                0.16376,                 1.3755,                 1.0196,                0.96823,              0.0064855,              0.0064855,              0.0064855
                     74,                 1.4517,                  1.083,                 1.0027,                0.39744,                0.30084,                0.29484,                0.16633,                 1.3748,                  1.013,                0.96816,               0.006436,               0.006436,               0.006436
                     75,                 1.4465,                 1.0764,                 1.0013,                0.39865,                0.30118,                 0.2959,                0.16725,                 1.3758,                 1.0143,                0.96923,              0.0063865,              0.0063865,              0.0063865
                     76,                 1.4439,                 1.0701,                 1.0039,                0.40842,                0.29958,                0.29593,                0.16629,                 1.3728,                 1.0134,                0.96789,               0.006337,               0.006337,               0.006337
                     77,                 1.4509,                 1.0758,                 1.0006,                0.39805,                0.30327,                0.29507,                0.16656,                 1.3705,                 1.0131,                 0.9675,              0.0062875,              0.0062875,              0.0062875
                     78,                 1.4445,                 1.0712,                 1.0013,                0.39903,                 0.3024,                 0.2949,                0.16667,                 1.3717,                 1.0125,                 0.9671,               0.006238,               0.006238,               0.006238
                     79,                 1.4408,                 1.0696,                0.99878,                0.40484,                0.30275,                0.29643,                0.16741,                 1.3685,                 1.0089,                0.96634,              0.0061885,              0.0061885,              0.0061885
                     80,                 1.4472,                 1.0732,                 1.0009,                0.39965,                0.30356,                0.29552,                0.16725,                 1.3729,                 1.0105,                0.96728,               0.006139,               0.006139,               0.006139
                     81,                 1.4352,                 1.0612,                 1.0002,                0.40745,                0.30079,                0.29612,                0.16653,                  1.371,                  1.009,                0.96681,              0.0060895,              0.0060895,              0.0060895
                     82,                 1.4407,                 1.0642,                 1.0005,                0.40919,                0.29931,                0.29536,                0.16735,                  1.371,                 1.0097,                0.96703,                0.00604,                0.00604,                0.00604
                     83,                 1.4359,                 1.0583,                0.99987,                0.40756,                0.30155,                0.29807,                  0.169,                 1.3665,                 1.0068,                0.96553,              0.0059905,              0.0059905,              0.0059905
                     84,                 1.4434,                 1.0652,                0.99562,                0.40158,                 0.3055,                0.29823,                0.16915,                 1.3647,                 1.0068,                0.96546,               0.005941,               0.005941,               0.005941
                     85,                 1.4314,                 1.0531,                 0.9981,                0.41177,                0.30107,                0.29954,                0.16937,                 1.3639,                 1.0059,                0.96461,              0.0058915,              0.0058915,              0.0058915
                     86,                 1.4302,                 1.0549,                0.99688,                 0.4129,                0.30167,                0.29972,                0.16984,                 1.3642,                 1.0049,                0.96511,               0.005842,               0.005842,               0.005842
                     87,                 1.4363,                 1.0552,                0.99729,                0.41731,                0.29964,                0.29951,                0.16897,                 1.3651,                  1.006,                 0.9648,              0.0057925,              0.0057925,              0.0057925
                     88,                 1.4308,                 1.0527,                0.99497,                0.40922,                0.30463,                0.30088,                0.17025,                 1.3618,                 1.0023,                0.96441,               0.005743,               0.005743,               0.005743
                     89,                 1.4324,                 1.0566,                0.99636,                0.41047,                0.30768,                0.30135,                0.17082,                 1.3607,                 1.0007,                0.96404,              0.0056935,              0.0056935,              0.0056935
                     90,                  1.431,                 1.0544,                 0.9954,                0.40871,                0.30882,                 0.3011,                0.17039,                  1.359,                0.99912,                0.96345,               0.005644,               0.005644,               0.005644
                     91,                 1.4251,                 1.0454,                 0.9964,                0.40974,                  0.307,                0.30031,                0.17044,                 1.3578,                0.99882,                0.96255,              0.0055945,              0.0055945,              0.0055945
                     92,                  1.426,                 1.0488,                0.99628,                0.41076,                0.30414,                0.30123,                0.17035,                 1.3575,                0.99801,                0.96303,               0.005545,               0.005545,               0.005545
                     93,                 1.4281,                 1.0511,                0.99656,                0.41919,                0.30078,                0.30093,                0.17065,                 1.3575,                0.99828,                0.96332,              0.0054955,              0.0054955,              0.0054955
