                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                 1.4003,                 1.0132,                0.97453,                0.41288,                0.32439,                0.31311,                0.18069,                 1.3489,                0.98447,                0.95378,              0.0050995,              0.0050995,              0.0050995
                    102,                 1.4109,                  1.025,                0.97505,                0.41337,                0.32481,                0.31364,                0.18107,                 1.3533,                0.99157,                0.95309,                0.00505,                0.00505,                0.00505
                    103,                 1.4057,                 1.0198,                0.97304,                0.41655,                 0.3253,                0.31489,                0.18199,                 1.3549,                0.99508,                0.95182,              0.0050005,              0.0050005,              0.0050005
                    104,                 1.4082,                 1.0253,                0.97385,                0.41858,                0.32457,                0.31529,                0.18159,                 1.3571,                0.99898,                0.95099,               0.004951,               0.004951,               0.004951
                    105,                  1.411,                 1.0234,                0.97322,                0.42057,                0.32488,                 0.3151,                0.18153,                 1.3584,                0.99985,                0.95001,              0.0049015,              0.0049015,              0.0049015
                    106,                  1.412,                 1.0299,                0.97075,                0.41944,                0.32476,                0.31472,                0.18168,                 1.3576,                 1.0006,                0.94873,               0.004852,               0.004852,               0.004852
                    107,                 1.4097,                 1.0255,                0.96907,                0.41673,                0.32368,                0.31475,                0.18173,                 1.3569,                 1.0002,                0.94793,              0.0048025,              0.0048025,              0.0048025
                    108,                 1.4005,                 1.0201,                 0.9665,                 0.4219,                0.32136,                0.31561,                0.18224,                 1.3546,                0.99762,                0.94683,               0.004753,               0.004753,               0.004753
                    109,                 1.3989,                 1.0158,                0.96857,                0.41968,                0.32427,                 0.3163,                0.18342,                 1.3525,                 0.9951,                0.94598,              0.0047035,              0.0047035,              0.0047035
                    110,                 1.3937,                 1.0166,                0.96425,                 0.4208,                0.32489,                0.31662,                0.18331,                 1.3506,                0.99271,                0.94485,               0.004654,               0.004654,               0.004654
                    111,                 1.3968,                  1.019,                0.96483,                0.41979,                0.32432,                 0.3176,                0.18378,                 1.3498,                0.99213,                0.94399,              0.0046045,              0.0046045,              0.0046045
                    112,                 1.3963,                 1.0204,                0.96405,                0.42856,                0.32223,                0.31753,                0.18395,                 1.3484,                0.99112,                0.94331,               0.004555,               0.004555,               0.004555
                    113,                 1.3984,                 1.0144,                0.96679,                0.42609,                0.32224,                0.31786,                0.18439,                 1.3469,                0.98926,                0.94275,              0.0045055,              0.0045055,              0.0045055
                    114,                 1.3976,                 1.0153,                0.96316,                0.42054,                0.32464,                0.31799,                0.18381,                 1.3471,                0.98851,                0.94273,               0.004456,               0.004456,               0.004456
                    115,                 1.3921,                 1.0025,                 0.9599,                0.42738,                0.32399,                 0.3192,                0.18429,                 1.3464,                0.98758,                0.94242,              0.0044065,              0.0044065,              0.0044065
                    116,                  1.398,                 1.0107,                0.96467,                0.42736,                0.32462,                0.31888,                0.18427,                 1.3456,                0.98689,                0.94194,               0.004357,               0.004357,               0.004357
                    117,                 1.3899,                 1.0036,                0.96034,                0.42944,                0.32396,                0.31834,                0.18399,                 1.3453,                  0.987,                0.94192,              0.0043075,              0.0043075,              0.0043075
                    118,                 1.3856,                 1.0045,                0.96015,                0.42391,                0.32419,                0.31848,                0.18396,                 1.3453,                0.98721,                0.94167,               0.004258,               0.004258,               0.004258
                    119,                 1.3837,                  1.006,                0.96224,                0.42702,                0.32121,                 0.3187,                0.18414,                 1.3447,                0.98621,                0.94134,              0.0042085,              0.0042085,              0.0042085
                    120,                 1.3846,                 1.0026,                0.96211,                0.42811,                0.32241,                0.31925,                0.18457,                 1.3432,                0.98516,                0.94098,               0.004159,               0.004159,               0.004159
                    121,                 1.3856,                  1.002,                0.96032,                0.42547,                0.32295,                0.31909,                0.18498,                 1.3428,                0.98379,                0.94092,              0.0041095,              0.0041095,              0.0041095
                    122,                  1.388,                 1.0026,                0.95996,                0.42423,                0.32478,                0.31946,                0.18492,                 1.3416,                0.98282,                0.94055,                0.00406,                0.00406,                0.00406
                    123,                 1.3892,                 1.0021,                0.95988,                0.42406,                0.32502,                0.31901,                0.18506,                 1.3406,                0.98232,                0.94009,              0.0040105,              0.0040105,              0.0040105
                    124,                  1.381,                0.99883,                0.96001,                 0.4275,                0.32593,                0.32056,                0.18557,                 1.3403,                0.98191,                0.93994,               0.003961,               0.003961,               0.003961
                    125,                 1.3761,                0.99573,                0.95766,                0.42599,                0.32799,                0.32031,                0.18543,                 1.3389,                 0.9808,                0.93929,              0.0039115,              0.0039115,              0.0039115
                    126,                 1.3782,                0.99412,                0.95847,                0.42969,                0.32627,                0.32063,                0.18566,                 1.3391,                0.98046,                0.93908,               0.003862,               0.003862,               0.003862
                    127,                 1.3819,                0.99626,                0.95927,                0.42584,                0.32932,                0.32135,                0.18607,                 1.3395,                0.98041,                0.93897,              0.0038125,              0.0038125,              0.0038125
                    128,                 1.3733,                0.98883,                0.95662,                0.42515,                0.33128,                0.32199,                0.18651,                 1.3383,                0.97962,                0.93881,               0.003763,               0.003763,               0.003763
                    129,                 1.3723,                0.98711,                 0.9553,                 0.4247,                0.32932,                0.32191,                0.18668,                 1.3378,                 0.9788,                0.93861,              0.0037135,              0.0037135,              0.0037135
                    130,                 1.3744,                0.98898,                 0.9572,                0.42675,                 0.3282,                0.32209,                0.18685,                 1.3377,                0.97868,                 0.9383,               0.003664,               0.003664,               0.003664
                    131,                 1.3741,                0.98914,                0.95605,                0.42883,                0.32777,                0.32265,                0.18672,                 1.3377,                0.97838,                0.93829,              0.0036145,              0.0036145,              0.0036145
                    132,                 1.3751,                0.98716,                0.95805,                0.42795,                 0.3286,                0.32309,                0.18688,                  1.337,                0.97767,                0.93811,               0.003565,               0.003565,               0.003565
                    133,                 1.3744,                 0.9895,                0.95822,                0.42882,                0.32849,                0.32292,                0.18676,                 1.3371,                0.97732,                0.93794,              0.0035155,              0.0035155,              0.0035155
                    134,                 1.3755,                0.98728,                0.95375,                0.42902,                0.32936,                  0.323,                0.18687,                 1.3368,                0.97677,                0.93795,               0.003466,               0.003466,               0.003466
                    135,                 1.3768,                0.98828,                0.95394,                0.42961,                0.32849,                0.32279,                0.18667,                 1.3362,                0.97643,                 0.9378,              0.0034165,              0.0034165,              0.0034165
                    136,                 1.3704,                0.98154,                 0.9551,                0.42997,                0.32803,                0.32284,                 0.1869,                  1.336,                0.97657,                0.93783,               0.003367,               0.003367,               0.003367
                    137,                 1.3643,                0.97919,                 0.9537,                0.42902,                0.32796,                0.32317,                0.18708,                 1.3357,                0.97651,                0.93776,              0.0033175,              0.0033175,              0.0033175
                    138,                 1.3719,                0.98144,                 0.9559,                0.43092,                0.32682,                0.32343,                0.18697,                 1.3357,                0.97635,                 0.9377,               0.003268,               0.003268,               0.003268
                    139,                 1.3661,                0.97748,                0.95417,                0.43107,                0.32751,                0.32298,                0.18711,                 1.3354,                0.97608,                0.93772,              0.0032185,              0.0032185,              0.0032185
                    140,                 1.3623,                 0.9751,                0.95307,                0.43221,                0.32708,                0.32305,                0.18723,                 1.3352,                0.97587,                0.93769,               0.003169,               0.003169,               0.003169
                    141,                 1.3688,                 0.9749,                0.95499,                0.43394,                0.32698,                0.32328,                0.18728,                 1.3347,                0.97576,                0.93745,              0.0031195,              0.0031195,              0.0031195
                    142,                 1.3659,                0.97604,                0.95406,                0.43581,                 0.3279,                0.32347,                0.18746,                 1.3346,                0.97532,                0.93728,                0.00307,                0.00307,                0.00307
                    143,                 1.3607,                0.97102,                0.95223,                 0.4334,                0.32871,                0.32361,                0.18754,                 1.3341,                0.97489,                0.93708,              0.0030205,              0.0030205,              0.0030205
                    144,                 1.3676,                0.97798,                0.95319,                0.43552,                0.32833,                0.32389,                0.18778,                 1.3339,                0.97448,                0.93706,               0.002971,               0.002971,               0.002971
                    145,                  1.358,                0.97069,                0.95322,                0.43646,                0.32741,                0.32384,                0.18779,                 1.3336,                0.97422,                0.93713,              0.0029215,              0.0029215,              0.0029215
                    146,                 1.3567,                0.96525,                 0.9512,                0.43502,                  0.328,                0.32381,                0.18767,                 1.3336,                0.97398,                0.93709,               0.002872,               0.002872,               0.002872
                    147,                 1.3557,                0.96753,                 0.9529,                0.43389,                0.32887,                0.32355,                0.18739,                 1.3335,                0.97385,                0.93697,              0.0028225,              0.0028225,              0.0028225
                    148,                 1.3696,                0.97321,                0.95322,                0.43323,                0.32897,                0.32385,                0.18755,                 1.3338,                0.97365,                0.93713,               0.002773,               0.002773,               0.002773
                    149,                 1.3559,                0.96504,                0.95179,                0.43248,                 0.3282,                0.32403,                0.18779,                 1.3339,                0.97346,                0.93696,              0.0027235,              0.0027235,              0.0027235
                    150,                 1.3591,                0.96665,                0.95401,                0.43434,                0.32774,                0.32442,                0.18809,                 1.3334,                0.97337,                0.93677,               0.002674,               0.002674,               0.002674
                    151,                 1.3526,                0.96046,                0.95276,                 0.4359,                0.32746,                0.32409,                0.18792,                  1.333,                0.97322,                0.93659,              0.0026245,              0.0026245,              0.0026245
                    152,                 1.3508,                0.96118,                0.95134,                0.43644,                0.32628,                0.32439,                0.18811,                 1.3329,                0.97297,                0.93649,               0.002575,               0.002575,               0.002575
                    153,                 1.3621,                0.96141,                0.94994,                0.43724,                0.32612,                0.32434,                 0.1881,                  1.333,                0.97277,                0.93648,              0.0025255,              0.0025255,              0.0025255
                    154,                 1.3528,                0.95813,                0.94821,                0.43446,                0.32662,                0.32434,                0.18822,                 1.3326,                0.97267,                0.93639,               0.002476,               0.002476,               0.002476
